row_number,symbol,name,current_price,price_dollar_change,price_percent_change,percent_off_high,vol_percent_change_vs_50day,avg_vol_50day,avg_dollar_vol_50day,ipo_date
1,MU,Micron Technology,189.01,-3.32,-1.7,-5.96,-49.2,"23,819","4,568,376","212,158.6"
2,WDC,Western Digital,119.21,-0.50,-0.4,-13.24,-36.6,"8,823","1,074,774","41,354.8"
3,STX,Seagate Technology,219.57,-2.13,-1.0,-17.09,-10.8,"3,890","900,700","46,761.2"
4,PSTG,Pure Storage Cl A,92.26,-1.37,-1.5,-1.85,-49.5,"3,318","310,790","30,151.8"
5,SNDK,Sandisk,126.86,-2.82,-2.2,-7.44,-30.2,"5,508","708,623","18,496.8"
6,NTAP,NetApp,114.67,-5.64,-4.7,-15.34,271.4,"1,979","238,081","22,945.2"
7,LITE,Lumentum Holdings,155.90,-3.86,-2.4,-12.66,-25.4,"3,540","565,853","10,902.3"
8,CIEN,Ciena,160.16,-3.46,-2.1,-2.36,30.1,"2,538","412,297","22,590.7"
9,CCJ,Cameco,91.16,4.43,5.1,2.28,103.3,"4,425","384,638","39,682.2"
10,HBM,Hudbay Minerals,17.14,0.05,0.3,-1.92,-22.8,"7,372","127,231","6,767.5"
11,ERO,Ero Copper,22.35,-0.21,-0.9,-6.96,6.7,805,"17,847","2,314.8"
12,SCCO,Southern Copper,130.80,0.23,0.2,-4.17,33.1,"1,539","208,964","106,234.3"
13,NEM,Newmont,85.64,0.43,0.5,-4.17,5.7,"10,386","884,565","94,071.2"
14,B,Barrick Mining,32.60,-0.45,-1.4,-9.71,-11.5,"21,254","698,961","56,037.1"
15,AEM,Agnico-Eagle Mines,161.87,0.14,0.1,-6.00,-6.8,"2,917","471,637","81,545.7"
16,KGC,Kinross Gold,24.07,-0.21,-0.9,-7.10,1.4,"18,547","456,068","29,336.1"
17,CDE,Coeur Mining,19.98,-0.07,-0.4,-8.36,6.3,"15,708","308,533","12,840.3"
18,WPM,Wheaton Precious Metals,104.20,0.82,0.8,-8.60,-15.3,"2,171","222,659","47,286.8"
19,PAAS,Pan American Silver,38.34,-0.21,-0.5,-6.12,5.9,"6,158","233,478","13,915.4"
20,AU,AngloGold Ashanti,71.33,-0.94,-1.3,-8.32,45.6,"3,155","226,708","35,914.1"
21,RGLD,Royal Gold,193.29,0.56,0.3,-6.39,-21.6,959,"184,172","12,724.5"
22,FNV,Franco-Nevada,204.18,0.40,0.2,-9.51,-22.7,758,"152,203","39,325.1"
23,GFI,Gold Fields ADR,40.10,0.12,0.3,-8.15,17.8,"3,473","137,243","35,907.3"
24,AGI,Alamos Gold,32.74,-0.02,-0.1,-8.06,-29.3,"3,843","126,797","13,758.4"
25,HMY,Harmony Gold Mining ADR,18.23,0.20,1.1,-7.39,-35.6,"5,893","105,090","11,529.8"
26,SSRM,SSR Mining,22.75,-0.10,-0.4,-9.33,-53.0,"3,807","86,016","4,613.2"
27,OR,OR Royalties,37.45,-0.15,-0.4,-11.37,81.0,"1,107","40,935","7,001.4"
28,TFPM,Triple Flag Prec Metals,29.89,0.32,1.1,-4.78,7.5,653,"19,046","6,020.8"
29,CMCL,Caledonia Mining,35.77,0.98,2.8,-7.69,23.1,262,"8,948",687.3
30,AUGO,Aura Minerals,36.98,0.17,0.5,-4.07,-36.0,267,"9,798","3,100.6"
31,AG,First Majestic Silver,13.85,0.11,0.8,-5.98,10.8,"21,264","287,300","6,274.6"
32,BVN,Minas Buenaventura ADR,24.33,-0.61,-2.4,-9.74,87.3,"1,194","29,689","6,178.2"
33,DRD,DRDGOLD ADR,28.30,0.27,1.0,-7.00,-6.5,800,"22,112","2,446.8"
34,EGO,Eldorado Gold,27.52,0.18,0.7,-8.27,55.4,"2,052","55,273","5,628.4"
35,IAG,IamGold,12.52,-0.08,-0.6,-10.54,-33.1,"14,418","180,092","7,196.1"
36,IDR,Idaho Strategic Resources,43.36,2.01,4.9,-1.45,77.9,553,"22,622",628.9
37,UI,Ubiquiti,689.45,-7.13,-1.0,-2.31,-0.4,182,"126,357","41,710.0"
38,DY,Dycom Industries,293.49,3.81,1.3,-2.17,-69.7,412,"119,811","8,497.7"
39,BE,Bloom Energy,89.82,3.17,3.7,-6.14,-32.8,"12,888","1,130,895","21,017.6"
40,AMPX,Amprius Technologies,13.15,0.34,2.6,-6.54,8.0,"8,431","107,896","1,644.7"
41,ORA,Ormat Technologies,107.06,0.42,0.4,-0.49,-56.0,547,"58,396","6,501.0"
42,OKLO,Oklo,151.38,13.25,9.6,2.85,81.0,"19,184","2,663,630","22,378.7"
43,LEU,Centrus Energy,397.58,26.49,7.1,2.10,36.7,"1,468","544,277","6,773.6"
44,NVDA,NVIDIA,194.68,2.11,1.1,1.90,-13.2,"175,609","33,783,731","4,750,192.0"
45,ALAB,Astera Labs,225.38,-0.05,-0.0,-14.27,-53.3,"6,111","1,392,661","37,462.4"
46,CRDO,Credo Tech Group,149.54,-1.61,-1.1,-15.37,-43.2,"5,310","800,293","25,869.7"
47,RMBS,Rambus,95.08,-3.65,-3.7,-12.90,-3.4,"1,948","194,044","10,229.4"
48,SITM,SiTime,306.97,-2.98,-1.0,-5.16,-68.1,389,"121,124","7,982.0"
49,AVGO,Broadcom,347.58,2.56,0.7,-7.12,-20.1,"23,297","8,031,892","1,641,376.0"
50,SMTC,Semtech,70.35,0.31,0.4,-11.54,-33.8,"1,902","134,651","6,104.0"
51,MPWR,Monolithic Power Systems,982.01,2.76,0.3,-0.47,-62.0,560,"554,059","47,030.4"
52,AMBA,Ambarella,83.11,-1.17,-1.4,-11.06,-48.1,813,"69,059","3,547.9"
53,MRVL,Marvell Technology,93.11,2.49,2.8,-26.96,-0.2,"21,866","2,038,495","80,568.1"
54,PI,Impinj,199.89,-5.75,-2.8,-16.67,-44.2,568,"118,613","5,814.6"
55,CRUS,Cirrus Logic,122.62,-2.16,-1.7,-5.36,28.1,579,"72,472","6,294.3"
56,AMD,Advanced Micro Devices,228.14,-4.75,-2.0,-4.98,3.6,"61,002","14,069,652","370,876.4"
57,LSCC,Lattice Semiconductor,74.93,0.35,0.5,-2.20,16.0,"2,715","203,536","10,257.5"
58,PRIM,Primoris Services,139.64,2.13,1.6,-2.24,-27.6,905,"126,041","7,542.2"
59,ROAD,Construction Ptrs Cl A,123.98,2.68,2.2,-10.74,70.1,525,"63,927","6,954.0"
60,MTZ,MasTec,207.00,-3.09,-1.5,-6.69,180.3,967,"203,304","16,237.5"
61,STRL,Sterling Infrastructure,360.47,4.94,1.4,-4.32,-48.2,538,"191,595","10,965.0"
62,TPC,Tutor Perini,63.30,1.55,2.5,-7.03,-40.5,630,"39,149","3,338.6"
63,PWR,Quanta Services,427.72,-2.20,-0.5,-3.66,38.8,"1,006","437,529","63,552.1"
64,AGX,Argan,275.14,5.05,1.9,-2.90,-47.7,369,"100,257","3,800.0"
65,ECG,Everus Construction Group,88.13,0.38,0.4,-2.08,-6.0,514,"44,647","4,495.2"
66,GVA,Granite Construction,106.47,0.96,0.9,-5.07,-61.9,700,"73,698","4,661.9"
67,ACM,AECOM,130.66,-0.63,-0.5,-2.35,-36.0,945,"125,080","17,305.4"
68,J,Jacobs Solutions,155.09,-0.36,-0.2,-1.78,41.1,729,"112,523","18,542.4"
69,CLS,Celestica,260.50,0.72,0.3,-0.51,-35.4,"3,047","818,333","29,966.0"
70,FN,Fabrinet,374.81,-7.44,-1.9,-5.65,-82.6,708,"271,581","13,391.4"
71,TTMI,TTM Technologies,57.87,1.35,2.4,-7.56,-36.6,"2,493","144,143","5,978.7"
72,FLEX,Flex Ltd,59.31,-0.32,-0.5,-1.23,-45.4,"3,601","215,950","22,260.5"
73,NXT,Nextracker,85.82,1.97,2.4,1.48,12.1,"2,195","193,802","12,698.2"
74,FSLR,First Solar,231.69,-2.61,-1.1,-2.32,-50.0,"2,718","640,505","24,848.1"
75,HALO,Halozyme Therapeutics,64.57,-0.54,-0.8,-18.78,-30.2,"2,209","143,548","7,552.5"
76,ARGX,argenx ADR,798.53,-6.37,-0.8,-1.22,-57.6,394,"323,408","47,981.3"
77,INCY,Incyte,84.40,-0.35,-0.4,-4.81,-44.5,"1,747","149,990","16,481.3"
78,KRYS,Krystal Biotech,185.52,-3.25,-1.7,-10.74,73.2,373,"70,747","5,369.2"
79,UTHR,United Therapeutics,442.63,-2.75,-0.6,-3.67,-70.6,880,"396,254","20,018.4"
80,ONC,BeOne Medicines ADR,330.38,-5.43,-1.6,-7.02,-51.1,324,"110,780","36,350.5"
81,KNSA,Kiniksa Pharmaceuticals,37.28,-0.83,-2.2,-5.45,-15.5,478,"18,860","2,762.0"
82,ETON,Eton Pharmaceuticals,20.01,-0.27,-1.3,-13.00,-56.3,321,"6,544",536.6
83,TVTX,Travere Therapeutics,25.40,-0.67,-2.6,-11.47,-70.7,"2,214","57,317","2,269.5"
84,MDGL,Madrigal Pharmaceuticals,427.27,-1.03,-0.2,-7.84,-70.6,375,"162,711","9,523.4"
85,IONS,Ionis Pharmaceuticals,69.82,-0.45,-0.6,-2.85,-53.5,"2,655","189,714","11,128.7"
86,GMAB,Genmab ADR,31.85,-0.01,-0.0,-5.31,-3.6,"1,758","54,724","21,080.5"
87,MIRM,Mirum Pharmaceuticals,71.83,-1.99,-2.7,-8.55,-20.8,831,"58,864","3,608.5"
88,ARWR,Arrowhead Pharm,35.98,-0.08,-0.2,-8.73,-19.5,"2,554","92,136","4,974.5"
89,TARS,Tarsus Pharmaceuticals,69.00,-1.39,-2.0,-2.52,-5.7,719,"50,800","2,912.6"
90,CORT,Corcept Therapeutics,76.86,-11.50,-13.0,-34.49,720.3,849,"75,415","8,099.1"
91,QBTS,D-Wave Quantum,33.70,-1.37,-3.9,-14.79,3.0,"49,699","1,722,701","11,411.0"
92,SMCI,Super Micro Computer,57.98,0.00,0.0,-12.73,-26.6,"31,747","1,867,646","34,455.9"
93,LOGI,Logitech International,108.78,-0.51,-0.5,-5.36,-44.3,529,"62,022","16,022.9"
94,DELL,Dell Technologies Cl C,157.03,1.08,0.7,-5.46,55.1,"7,030","1,066,682","106,596.3"
95,LRCX,Lam Research,140.02,-0.99,-0.7,-8.90,-40.0,"12,160","1,727,052","177,205.9"
96,ASML,ASML Holding,973.84,-6.70,-0.7,-8.04,1.0,"1,514","1,483,262","383,108.7"
